CodigoPais;Zona;SucursalAlquiler;Mes;Fecha;Res_CY;Res_LY;Dias_CY;Dias_LY;Rental_rate_rev_CY;Rental_rate_rev_LY;Ancillaries_CY;Ancillaries_LY;SDR_CY;SDR_LY;Origin_App;Brand
BE;Belgium;CRL;1/1/20;8/1/20;13;14;96;39;1485,1403;1019,2843;252,0552;396,2969;66,1089;33,0589;Rentway;Interrent
BE;Belgium;CRL;1/1/20;9/1/20;16;9;42;35;977,2458;771,4595;363,645;483,3981;0;16,5289;Rentway;Interrent
BE;Belgium;CRL;1/1/20;10/1/20;24;19;81;83;1696,892;1610,9506;460,2989;275,2534;835,1272;99,1767;Rentway;Interrent
BE;Belgium;CRL;1/1/20;11/1/20;15;13;39;44;899,8089;1024,7369;362,7552;342,9744;66,5289;49,5889;Rentway;Interrent
BE;Belgium;CRL;1/1/20;12/1/20;12;8;70;68;1585,9544;891,3249;378,4835;197,5258;0;0;Rentway;Interrent
BE;Belgium;CRL;1/1/20;13/1/20;20;24;55;73;1484,6453;1587,9617;947,9173;618,9487;66,1156;16,5289;Rentway;Interrent
BE;Belgium;CRL;1/1/20;14/1/20;13;31;40;99;894,4069;2479,2067;380,1381;1067,6778;66,5289;99,1767;Rentway;Interrent
BE;Belgium;CRL;1/1/20;15/1/20;18;37;70;94;1587,323;2733,716;421,5537;1008,2049;16,5289;93,0489;Rentway;Interrent
BE;Belgium;CRL;1/1/20;16/1/20;29;28;96;86;2319,5882;1943,9988;515,6367;1030,9055;202,7601;82,6489;Rentway;Interrent
BE;Belgium;CRL;1/1/20;17/1/20;36;38;110;116;2710,374;2515,4424;1042,5329;1042,5094;37,0578;169,3478;Rentway;Interrent
BE;Belgium;CRL;1/1/20;18/1/20;10;12;45;58;830,4036;905,0537;360,7576;287,6451;19,0189;-0,0011;Rentway;Interrent
BE;Belgium;CRL;1/1/20;19/1/20;6;12;45;57;678,1235;803,3745;132,2498;285,5497;0;96,8889;Rentway;Interrent
BE;Belgium;CRL;1/1/20;20/1/20;17;21;89;67;1617,7891;1372,3692;754,4754;710,6822;99,1778;82,6489;Rentway;Interrent
BE;Belgium;CRL;1/1/20;21/1/20;15;29;90;94;1594,7545;2292,2164;187,5817;810,7542;0;446,2778;Rentway;Interrent
BE;Belgium;CRL;1/1/20;22/1/20;18;28;79;97;1606,1833;2434,7952;295,0242;908,1652;0;132,2356;Rentway;Interrent
BE;Belgium;CRL;1/1/20;23/1/20;23;18;74;61;1780,0642;1283,1932;561,9268;323,947;36,0078;66,1156;Rentway;Interrent
BE;Belgium;CRL;1/1/20;24/1/20;25;33;77;102;1839,7175;2772,0307;637,1318;566,0695;44,5678;93,9078;Rentway;Interrent
